Date,Predicted_Load
2023-01-01,1747.641
2023-01-01,1682.1604
2023-01-01,1721.5804
2023-01-01,1841.7603
2023-01-01,1768.1514
2023-01-01,1871.8008
2023-01-01,1952.9817
2023-01-01,2006.6711
2023-01-01,1893.8346
2023-01-01,1711.2842
2023-01-01,1691.7861
2023-01-01,1411.7362
2023-01-01,1585.1621
2023-01-01,1550.0988
2023-01-01,1737.4153
2023-01-01,1911.0703
2023-01-01,2237.5945
2023-01-01,2557.2544
2023-01-01,2515.0312
2023-01-01,2495.3704
2023-01-01,2481.1663
2023-01-01,2221.389
2023-01-01,2229.19
2023-01-01,2083.8372
2023-01-02,1908.6389
2023-01-02,1832.4885
2023-01-02,1860.1847
2023-01-02,1833.9784
2023-01-02,1813.2498
2023-01-02,1847.8638
2023-01-02,1904.3414
2023-01-02,1926.2363
2023-01-02,1775.9921
2023-01-02,1793.459
2023-01-02,1614.3624
2023-01-02,1440.5061
2023-01-02,1573.1759
2023-01-02,1567.4221
2023-01-02,1732.992
2023-01-02,1962.5724
2023-01-02,2241.8064
2023-01-02,2559.8215
2023-01-02,2586.9695
2023-01-02,2529.5383
2023-01-02,2359.0952
2023-01-02,2277.801
2023-01-02,2135.1267
2023-01-02,2071.916
2023-01-03,1940.5981
2023-01-03,1899.3235
2023-01-03,1854.932
2023-01-03,1825.6589
2023-01-03,1942.4791
2023-01-03,2163.1118
2023-01-03,2291.417
2023-01-03,2344.669
2023-01-03,2180.7378
2023-01-03,1933.631
2023-01-03,1856.9965
2023-01-03,1776.7655
2023-01-03,1744.0441
2023-01-03,1759.1952
2023-01-03,1848.8307
2023-01-03,2224.4402
2023-01-03,2462.7686
2023-01-03,2693.9692
2023-01-03,2796.5698
2023-01-03,2619.3877
2023-01-03,2459.2263
2023-01-03,2466.5193
2023-01-03,2203.1165
2023-01-03,2096.198
2023-01-04,1965.6777
2023-01-04,1928.9902
2023-01-04,1879.7966
2023-01-04,1917.3953
2023-01-04,2040.1213
2023-01-04,2145.721
2023-01-04,2298.4846
2023-01-04,2339.585
2023-01-04,2222.896
2023-01-04,2016.9637
2023-01-04,1915.7529
2023-01-04,1859.6497
2023-01-04,1862.9193
2023-01-04,1897.8269
2023-01-04,2059.1345
2023-01-04,2205.4033
2023-01-04,2503.0037
2023-01-04,2670.9792
2023-01-04,2768.9712
2023-01-04,2744.903
2023-01-04,2507.6738
2023-01-04,2401.5027
2023-01-04,2259.4573
2023-01-04,2183.789
2023-01-05,1952.8302
2023-01-05,1823.211
2023-01-05,1822.2656
2023-01-05,1814.4089
2023-01-05,1901.5872
2023-01-05,1964.0098
2023-01-05,2171.0625
2023-01-05,2189.8223
2023-01-05,2161.0369
2023-01-05,2016.203
2023-01-05,1898.7175
2023-01-05,1811.9626
2023-01-05,1908.2456
2023-01-05,1954.0698
2023-01-05,1998.0742
2023-01-05,2097.2214
2023-01-05,2446.273
2023-01-05,2707.9014
2023-01-05,2601.973
2023-01-05,2706.1282
2023-01-05,2593.1248
2023-01-05,2431.6233
2023-01-05,2245.6387
2023-01-05,2005.6287
2023-01-06,1981.0317
2023-01-06,1898.0608
2023-01-06,1865.17
2023-01-06,1891.4182
2023-01-06,2020.504
2023-01-06,2122.8428
2023-01-06,2327.9111
2023-01-06,2437.1775
2023-01-06,2291.643
2023-01-06,1996.3375
2023-01-06,1907.522
2023-01-06,1881.2592
2023-01-06,1864.6467
2023-01-06,1933.0966
2023-01-06,2100.5977
2023-01-06,2356.198
2023-01-06,2564.319
2023-01-06,2777.3198
2023-01-06,2753.811
2023-01-06,2632.0767
2023-01-06,2428.684
2023-01-06,2227.4478
2023-01-06,2053.182
2023-01-06,1928.8457
2023-01-07,1891.9905
2023-01-07,1880.6743
2023-01-07,1876.6931
2023-01-07,1888.0183
2023-01-07,1984.9557
2023-01-07,2054.2756
2023-01-07,2217.9553
2023-01-07,2333.7214
2023-01-07,2242.544
2023-01-07,1956.8146
2023-01-07,1811.3914
2023-01-07,1819.1584
2023-01-07,1777.716
2023-01-07,1821.156
2023-01-07,1936.2382
2023-01-07,2082.6208
2023-01-07,2352.3003
2023-01-07,2618.3945
2023-01-07,2714.9321
2023-01-07,2581.671
2023-01-07,2427.144
2023-01-07,2234.6172
2023-01-07,2141.6504
2023-01-07,1889.3484
2023-01-08,1797.9249
2023-01-08,1822.9873
2023-01-08,1788.4823
2023-01-08,1781.5149
2023-01-08,1818.4901
2023-01-08,1876.5532
2023-01-08,2043.9569
2023-01-08,2118.262
2023-01-08,1978.888
2023-01-08,1912.3208
2023-01-08,1859.4741
2023-01-08,1765.9971
2023-01-08,1623.5552
2023-01-08,1682.341
2023-01-08,1949.9005
2023-01-08,1998.026
2023-01-08,2364.8403
2023-01-08,2582.4465
2023-01-08,2576.6719
2023-01-08,2520.468
2023-01-08,2380.0088
2023-01-08,2274.8032
2023-01-08,2173.9375
2023-01-08,1997.4825
2023-01-09,1898.8422
2023-01-09,1937.583
2023-01-09,1909.5046
2023-01-09,1893.7908
2023-01-09,1883.1605
2023-01-09,1975.9741
2023-01-09,2062.9265
2023-01-09,1984.287
2023-01-09,1846.543
2023-01-09,1581.807
2023-01-09,1716.109
2023-01-09,1504.2306
2023-01-09,1585.4547
2023-01-09,1639.9219
2023-01-09,1931.1017
2023-01-09,2115.2556
2023-01-09,2300.1384
2023-01-09,2544.6304
2023-01-09,2497.9338
2023-01-09,2464.3416
2023-01-09,2279.1592
2023-01-09,2062.7026
2023-01-09,1938.7357
2023-01-09,1907.1456
2023-01-10,1778.0742
2023-01-10,1692.5338
2023-01-10,1744.0096
2023-01-10,1797.3634
2023-01-10,1916.4641
2023-01-10,1973.7921
2023-01-10,2119.549
2023-01-10,2202.182
2023-01-10,2186.2922
2023-01-10,2213.7283
2023-01-10,2263.1423
2023-01-10,2341.8694
2023-01-10,2151.6187
2023-01-10,2154.1528
2023-01-10,2248.922
2023-01-10,2341.9502
2023-01-10,2516.6511
2023-01-10,2726.5645
2023-01-10,2680.1675
2023-01-10,2554.1235
2023-01-10,2381.5056
2023-01-10,2214.603
2023-01-10,1944.4515
2023-01-10,1870.7717
2023-01-11,1853.929
2023-01-11,1748.7668
2023-01-11,1743.8806
2023-01-11,1805.3857
2023-01-11,1883.2855
2023-01-11,2064.6438
2023-01-11,2129.551
2023-01-11,2166.9043
2023-01-11,2135.2175
2023-01-11,2033.8577
2023-01-11,1952.4463
2023-01-11,1991.5149
2023-01-11,2048.9934
2023-01-11,2061.8906
2023-01-11,2278.3875
2023-01-11,2431.148
2023-01-11,2634.4521
2023-01-11,2617.789
2023-01-11,2642.0347
2023-01-11,2476.1345
2023-01-11,2333.828
2023-01-11,2211.514
2023-01-11,2055.0964
2023-01-11,1874.2206
2023-01-12,1734.0458
2023-01-12,1672.8275
2023-01-12,1626.0492
2023-01-12,1676.5377
2023-01-12,1742.6403
2023-01-12,1863.9034
2023-01-12,1970.1504
2023-01-12,2030.9762
2023-01-12,2202.4546
2023-01-12,2230.66
2023-01-12,2240.3137
2023-01-12,2025.6178
2023-01-12,2107.006
2023-01-12,2203.7056
2023-01-12,2229.218
2023-01-12,2483.068
2023-01-12,2522.0947
2023-01-12,2652.1265
2023-01-12,2648.763
2023-01-12,2490.8345
2023-01-12,2339.0337
2023-01-12,2086.9282
2023-01-12,2009.949
2023-01-12,1901.1243
2023-01-13,1831.7211
2023-01-13,1736.8969
2023-01-13,1693.2513
2023-01-13,1720.9055
2023-01-13,1840.4691
2023-01-13,2007.1342
2023-01-13,2113.9458
2023-01-13,2162.0244
2023-01-13,2144.159
2023-01-13,2393.772
2023-01-13,2260.7078
2023-01-13,2367.2637
2023-01-13,2317.9053
2023-01-13,2334.2778
2023-01-13,2434.3228
2023-01-13,2503.5483
2023-01-13,2532.6519
2023-01-13,2719.1921
2023-01-13,2670.482
2023-01-13,2480.003
2023-01-13,2287.0396
2023-01-13,2112.4043
2023-01-13,1916.2737
2023-01-13,1865.8306
2023-01-14,1842.5104
2023-01-14,1753.594
2023-01-14,1730.9025
2023-01-14,1770.7557
2023-01-14,1890.431
2023-01-14,2028.3364
2023-01-14,2153.4119
2023-01-14,2248.282
2023-01-14,2178.4902
2023-01-14,1863.7294
2023-01-14,1815.0437
2023-01-14,1748.461
2023-01-14,1877.6501
2023-01-14,1989.2655
2023-01-14,2093.4033
2023-01-14,1982.4758
2023-01-14,2352.8845
2023-01-14,2558.2893
2023-01-14,2575.0696
2023-01-14,2450.2332
2023-01-14,2329.67
2023-01-14,2105.076
2023-01-14,1994.2432
2023-01-14,1948.895
2023-01-15,1817.2687
2023-01-15,1802.5967
2023-01-15,1757.1405
2023-01-15,1747.8074
2023-01-15,1780.4047
2023-01-15,1777.7167
2023-01-15,1906.1936
2023-01-15,1964.1492
2023-01-15,1964.7633
2023-01-15,1994.1447
2023-01-15,2212.668
2023-01-15,2158.5642
2023-01-15,2143.6914
2023-01-15,2226.6064
2023-01-15,2159.4714
2023-01-15,2252.41
2023-01-15,2340.69
2023-01-15,2507.6194
2023-01-15,2520.222
2023-01-15,2310.8699
2023-01-15,2195.061
2023-01-15,2105.0894
2023-01-15,1888.2139
2023-01-15,1818.4508
2023-01-16,1750.8846
2023-01-16,1749.4233
2023-01-16,1707.078
2023-01-16,1737.6042
2023-01-16,1788.2196
2023-01-16,1819.6147
2023-01-16,1921.8032
2023-01-16,1837.7896
2023-01-16,1696.9655
2023-01-16,1700.414
2023-01-16,1659.8414
2023-01-16,1655.323
2023-01-16,1573.7126
2023-01-16,1666.8536
2023-01-16,1855.4124
2023-01-16,1977.787
2023-01-16,2231.6514
2023-01-16,2277.3247
2023-01-16,2391.01
2023-01-16,2239.3135
2023-01-16,2144.2964
2023-01-16,1980.6703
2023-01-16,1863.3048
2023-01-16,1789.8041
2023-01-17,1753.768
2023-01-17,1696.6798
2023-01-17,1691.0638
2023-01-17,1795.8094
2023-01-17,1928.9116
2023-01-17,1991.087
2023-01-17,2137.4268
2023-01-17,2148.7668
2023-01-17,2197.6985
2023-01-17,2158.9185
2023-01-17,2021.6011
2023-01-17,2135.0051
2023-01-17,1941.8483
2023-01-17,1841.1644
2023-01-17,2074.311
2023-01-17,2289.9885
2023-01-17,2442.5037
2023-01-17,2589.6099
2023-01-17,2632.2114
2023-01-17,2471.6082
2023-01-17,2299.5886
2023-01-17,2077.5208
2023-01-17,1877.3463
2023-01-17,1790.6566
2023-01-18,1749.253
2023-01-18,1709.2133
2023-01-18,1707.2446
2023-01-18,1727.7213
2023-01-18,1803.0712
2023-01-18,1899.6395
2023-01-18,2080.7686
2023-01-18,2126.6838
2023-01-18,2173.1804
2023-01-18,2194.8254
2023-01-18,2098.5027
2023-01-18,2176.1016
2023-01-18,2080.2388
2023-01-18,2049.048
2023-01-18,2115.8691
2023-01-18,2243.111
2023-01-18,2390.272
2023-01-18,2553.5623
2023-01-18,2531.4583
2023-01-18,2416.9146
2023-01-18,2252.7273
2023-01-18,2056.7551
2023-01-18,1880.0272
2023-01-18,1783.0361
2023-01-19,1727.7067
2023-01-19,1728.9749
2023-01-19,1670.5376
2023-01-19,1696.0048
2023-01-19,1831.453
2023-01-19,1884.116
2023-01-19,1997.4448
2023-01-19,2040.1111
2023-01-19,2195.52
2023-01-19,2076.0627
2023-01-19,1889.4608
2023-01-19,1882.7893
2023-01-19,1792.9419
2023-01-19,1738.8694
2023-01-19,1829.9304
2023-01-19,1950.7228
2023-01-19,2256.855
2023-01-19,2591.203
2023-01-19,2607.1584
2023-01-19,2526.567
2023-01-19,2470.2087
2023-01-19,2226.4912
2023-01-19,2018.579
2023-01-19,1964.8864
2023-01-20,1905.1255
2023-01-20,1863.4027
2023-01-20,1879.39
2023-01-20,1959.1539
2023-01-20,2131.4028
2023-01-20,2253.045
2023-01-20,2422.173
2023-01-20,2383.7625
2023-01-20,2350.5688
2023-01-20,1912.8442
2023-01-20,1876.4409
2023-01-20,1734.1134
2023-01-20,1651.6544
2023-01-20,1698.1311
2023-01-20,2042.569
2023-01-20,2066.3538
2023-01-20,2149.245
2023-01-20,2450.4675
2023-01-20,2499.247
2023-01-20,2432.862
2023-01-20,2361.5215
2023-01-20,2182.942
2023-01-20,2096.81
2023-01-20,2092.353
2023-01-21,1926.6831
2023-01-21,1916.4324
2023-01-21,1903.7231
2023-01-21,1921.5338
2023-01-21,2106.7751
2023-01-21,2311.7495
2023-01-21,2424.7688
2023-01-21,2540.1353
2023-01-21,2435.4944
2023-01-21,2094.4905
2023-01-21,1821.5782
2023-01-21,1798.7914
2023-01-21,1844.581
2023-01-21,1884.5212
2023-01-21,2017.0342
2023-01-21,2352.857
2023-01-21,2437.8499
2023-01-21,2711.2756
2023-01-21,2657.9878
2023-01-21,2666.8438
2023-01-21,2634.684
2023-01-21,2439.7117
2023-01-21,2326.0625
2023-01-21,2086.0024
2023-01-22,1965.1736
2023-01-22,1907.922
2023-01-22,1872.4558
2023-01-22,1788.198
2023-01-22,1872.606
2023-01-22,2022.8524
2023-01-22,2178.9976
2023-01-22,2280.5662
2023-01-22,2023.4087
2023-01-22,1746.2289
2023-01-22,1594.008
2023-01-22,1593.9438
2023-01-22,1536.9788
2023-01-22,1582.6416
2023-01-22,1856.8209
2023-01-22,1954.5619
2023-01-22,2211.5261
2023-01-22,2417.7085
2023-01-22,2494.8252
2023-01-22,2420.2876
2023-01-22,2348.99
2023-01-22,2308.6348
2023-01-22,2135.0588
2023-01-22,1979.85
2023-01-23,1940.0985
2023-01-23,1852.4802
2023-01-23,1827.1685
2023-01-23,1818.7465
2023-01-23,1808.7015
2023-01-23,1869.7865
2023-01-23,2016.748
2023-01-23,1970.3905
2023-01-23,1866.7845
2023-01-23,1606.1198
2023-01-23,1474.1879
2023-01-23,1477.4142
2023-01-23,1551.795
2023-01-23,1549.8867
2023-01-23,1857.8508
2023-01-23,2062.4297
2023-01-23,2085.6182
2023-01-23,2423.4343
2023-01-23,2429.6118
2023-01-23,2368.1858
2023-01-23,2214.8416
2023-01-23,2150.443
2023-01-23,2079.113
2023-01-23,1964.7051
2023-01-24,1954.7561
2023-01-24,1884.9738
2023-01-24,1855.216
2023-01-24,1939.2832
2023-01-24,2075.9624
2023-01-24,2226.7915
2023-01-24,2442.2034
